size,random,almost,reversed
100,598,724,598
200,1491,1634,1314
300,2518,2615,2044
400,3648,3626,2833
500,4839,4522,3739
600,6107,5810,4413
700,7418,6914,5224
800,8772,8044,6093
900,10157,9079,7004
1000,11566,10017,8003
1100,13033,11378,8721
1200,14523,12752,9458
1300,16039,14001,10323
1400,17581,15223,11164
1500,19122,16441,12117
1600,20696,17644,13021
1700,22292,18877,13891
1800,23899,19868,14920
1900,25533,21052,15897
2000,27163,22044,17030
2100,28828,23349,17906
2200,30532,24989,18576
2300,32224,26473,19373
2400,33938,27971,20154
2500,35666,29313,21052
2600,37408,30623,21946
2700,39161,32013,22792
2800,40924,33374,23755
2900,42689,34660,24681
3000,44469,35853,25758
