size,random,almost,reversed
100,80,62,83
200,177,150,176
300,300,221,281
400,388,310,368
500,515,406,486
600,640,499,595
700,785,609,702
800,872,704,807
900,1002,821,919
1000,1128,900,1041
1100,1266,1029,1149
1200,1433,1114,1324
1300,1559,1253,1484
1400,1641,1348,1561
1500,1757,1489,1645
1600,1954,1586,1772
1700,2057,1751,1937
1800,2192,1862,1997
1900,2293,2068,2133
2000,2489,2070,2231
2100,2608,2232,2387
2200,2722,2338,2399
2300,3032,2468,2611
2400,3074,2555,2661
2500,3286,2741,2906
2600,3420,2858,3059
2700,3493,2995,3132
2800,3703,3089,3333
2900,3823,3246,3299
3000,4013,3289,3464
