size,random,almost,reversed
100,57,617,1453
200,209,1256,3047
300,425,1907,4609
400,688,2551,6214
500,996,3189,7803
600,1331,3833,9303
700,1699,4507,10952
800,2089,5138,12523
900,2507,5760,14081
1000,2931,6402,15671
1100,3383,7032,17230
1200,3854,7686,18806
1300,4327,8300,20383
1400,4824,8966,21966
1500,5327,9626,23494
1600,5827,10245,25051
1700,6359,10894,26632
1800,6903,11527,28296
1900,7440,12209,29855
2000,7992,12779,31366
2100,8571,13433,32912
2200,9134,14105,34678
2300,9724,14743,36228
2400,10327,15354,37756
2500,10911,16006,39368
2600,11480,16657,40850
2700,12108,17312,42472
2800,12720,17908,44081
2900,13344,18576,45600
3000,13980,19254,47329
