size,random,almost,reversed
100,56,63,83
200,98,110,149
300,150,159,223
400,206,208,287
500,253,255,352
600,294,294,427
700,354,352,498
800,405,396,568
900,470,442,631
1000,493,497,722
1100,545,567,759
1200,575,633,867
1300,612,732,913
1400,676,720,976
1500,733,909,1093
1600,759,811,1154
1700,825,842,1221
1800,870,888,1255
1900,998,934,1319
2000,967,980,1383
2100,1010,1028,1497
2200,1076,1092,1536
2300,1128,1126,2004
2400,1209,1200,1879
2500,1256,1255,1901
2600,1359,1722,2069
2700,1400,1464,1922
2800,1412,1482,2025
2900,1462,1612,2415
3000,1511,1495,2115
