size,random,almost,reversed
100,404,315,330
200,790,628,683
300,1047,974,953
400,1246,1402,1293
500,1460,1631,1612
600,1677,1946,1884
700,1803,2222,2266
800,2023,2567,2522
900,2261,3011,2807
1000,2401,3156,3267
1100,2694,3511,3547
1200,3084,3838,3872
1300,3164,4231,4100
1400,3397,4429,4370
1500,3762,5030,4797
1600,3988,5087,4940
1700,4707,5077,5452
1800,4986,5587,5696
1900,5150,5816,6147
2000,5393,6364,6306
2100,5881,6796,6966
2200,6310,7261,6906
2300,6791,6980,7260
2400,7232,7391,7706
2500,7587,7870,7778
2600,7812,8725,8103
2700,8396,9605,8800
2800,8792,9507,8669
2900,9118,9081,8952
3000,9674,9482,9415
