size,random,almost,reversed
100,14655,14296,14072
200,29535,28791,28719
300,44905,39931,39802
400,60728,58325,58154
500,75802,60244,59671
600,91337,80341,80124
700,107039,101926,102640
800,123331,117692,117529
900,139457,119001,118948
1000,154980,121266,120517
1100,170668,138695,138058
1200,186575,160582,160835
1300,203093,182984,183666
1400,219008,205086,205942
1500,235156,227614,229423
1600,250903,236334,237321
1700,266989,239168,238645
1800,282654,241687,240511
1900,298665,244062,242379
2000,315283,246267,242917
2100,331573,259685,256311
2200,347597,280951,278893
2300,363762,302074,302363
2400,379304,324184,324106
2500,396698,345999,346896
2600,413590,367724,369470
2700,428938,390438,392394
2800,445646,411751,415019
2900,462708,435099,437396
3000,477327,455479,461360
