size,random,almost,reversed
100,146,128,122
200,286,251,249
300,435,348,354
400,596,523,517
500,748,528,534
600,951,722,719
700,1047,911,922
800,1171,1069,1047
900,1300,1067,1095
1000,1481,1118,1100
1100,1631,1226,1269
1200,1816,1457,1482
1300,1968,1626,1637
1400,2100,1865,1835
1500,2251,2009,2050
1600,2449,2140,2110
1700,2606,2186,2130
1800,2822,2155,2188
1900,2973,2181,2179
2000,3104,2254,2310
2100,3195,2343,2314
2200,3473,2511,2544
2300,3563,2940,2695
2400,3841,2904,2921
2500,3867,3058,3129
2600,3992,3274,3318
2700,4193,3503,3437
2800,4348,3672,3816
2900,4600,3885,3943
3000,4741,4079,4103
