size,random,almost,reversed
100,600,652,672
200,1490,1478,1465
300,2517,2371,2286
400,3645,3325,3146
500,4838,4436,3845
600,6108,5329,4903
700,7421,6317,5861
800,8769,7448,6713
900,10157,8574,7511
1000,11570,9838,8195
1100,13029,10818,9298
1200,14527,11801,10428
1300,16034,12939,11431
1400,17576,14032,12437
1500,19122,15279,13315
1600,20695,16520,14241
1700,22288,17643,15173
1800,23909,18971,15940
1900,25522,20180,16751
2000,27161,21645,17418
2100,28841,22854,18420
2200,30529,23819,19732
2300,32229,24956,20871
2400,33943,26075,22075
2500,35675,27282,23132
2600,37405,28501,24207
2700,39154,29659,25323
2800,40925,30902,26280
2900,42688,32292,27268
3000,44466,33607,28142
