size,random,almost,reversed
100,234,222,231
200,547,473,515
300,855,758,811
400,1124,1052,1060
500,1445,1337,1298
600,1853,1682,1728
700,2240,1944,2033
800,2426,2230,2252
900,2918,2542,2577
1000,3147,2762,2805
1100,3630,3410,3348
1200,3912,3722,3730
1300,4481,4009,3983
1400,4920,4328,4328
1500,5262,4608,4649
1600,5502,4887,4876
1700,5757,5254,5138
1800,6152,5586,5512
1900,6475,5858,5789
2000,6715,6036,5930
2100,7495,6996,6676
2200,8004,7301,7144
2300,8648,7809,7602
2400,8896,8117,7749
2500,9311,8193,8222
2600,9614,9002,8429
2700,10381,9197,8953
2800,10430,9307,9204
2900,10755,9808,9622
3000,11285,10091,9849
