size,random,almost,reversed
100,608,766,1157
200,1424,1736,2758
300,2316,2888,4420
400,3275,4298,6382
500,4307,5933,8647
600,5398,7901,11163
700,6414,10116,13794
800,7496,12620,16873
900,8591,15414,20158
1000,9557,18348,23470
1100,10873,21717,27172
1200,12146,24842,31143
1300,13177,29143,35358
1400,14278,32641,40071
1500,15624,37067,44527
1600,16789,41215,49632
1700,17900,45939,54838
1800,19291,48777,60421
1900,20617,55316,65936
2000,21626,60001,71864
2100,23039,64408,78361
2200,24470,69146,84705
2300,25504,75459,91433
2400,26760,78104,98371
2500,28278,86527,105628
2600,29135,88931,113091
2700,30524,97871,120802
2800,31917,102939,128835
2900,33154,108071,137012
3000,34617,112757,146054
