size,random,almost,reversed
100,29,28,37
200,59,61,83
300,102,97,131
400,138,138,182
500,164,189,242
600,199,243,298
700,232,311,370
800,265,361,455
900,319,428,504
1000,355,510,589
1100,382,599,671
1200,426,669,786
1300,454,743,862
1400,506,866,967
1500,548,947,1066
1600,577,1075,1175
1700,651,1137,1294
1800,681,1227,1406
1900,729,1352,1532
2000,752,1532,1677
2100,795,1510,1723
2200,848,1709,1952
2300,930,1834,2038
2400,975,1893,2288
2500,1011,2006,2376
2600,1057,2098,2596
2700,1061,2253,2660
2800,1114,2418,2930
2900,1131,2519,3170
3000,1205,2656,3237
